name,t1_accuracy,t2_accuracy,t3_accuracy,rewards
Iterations/BERT-final,0.22414542924241107,0.39097155779768633,0.524832565016961,-1.728958079450707
Iterations/BERT-final/RLHF25,0.22605897190571453,0.3907975993737497,0.5223971470818475,-1.546049176148063
Iterations/BERT-final/RLHF50,0.2253631382099678,0.39345046533878403,0.5228755327476733,-1.396631004389442
Iterations/BERT-final/RLHF75,0.22584152387579368,0.388057754196747,0.5164390710620161,-1.246493400693086
Iterations/BERT-final/RLHF100,0.2232321475167435,0.38597025310950683,0.5193963642689398,-1.2583365313185648
Iterations/BERT-final/RLHF125,0.2230581890928068,0.38318691832651997,0.513568757067061,-1.0835210801514703
Iterations/BERT-final/RLHF150,0.21970948943202576,0.37857702009219796,0.507697660259198,-0.9102374743622482
Iterations/BERT-final/RLHF175,0.21657823780116553,0.37109680786292076,0.4993911455162216,-0.7317035619276938
Iterations/BERT-final/RLHF200,0.21166391232495432,0.3642689397234061,0.4959989562494564,-0.5442224645419272
Iterations/BERT-final/RLHF225,0.20944594241976167,0.36657388884056713,0.49560754979559885,-0.6643061555941402
Iterations/BERT-final/RLHF250,0.211576933112986,0.37140123510480993,0.49952161433417414,-0.6353273101994836
Iterations/BERT-final/RLHF275,0.20244411585631034,0.3639645124815169,0.4945203096459946,-0.2621003672300204
Iterations/BERT-final/RLHF300,0.2030964599460729,0.35944159345916327,0.4936505175263112,-0.42718673289291237
Iterations/BERT-final/RLHF325,0.18996259893885362,0.35448377837696793,0.48982343219970426,-0.03291764174536444
Iterations/BERT-final/RLHF350,0.19091937027050535,0.353222579803427,0.4861268156910498,-0.0362392543915007
Iterations/BERT-final/RLHF375,0.20087849004088024,0.35918065582325825,0.4880838479603375,-0.30745816007349563
Iterations/BERT-final/RLHF400,0.1860920240062625,0.3421762198834479,0.4762546751326433,0.024508726456719747
Iterations/BERT-final/RLHF425,0.18470035661476908,0.34017569800817604,0.478733582673741,0.20045143010663138
Iterations/BERT-final/RLHF450,0.18409150213099068,0.34143689658171694,0.47547186222492827,0.16925325957405474
Iterations/BERT-final/RLHF475,0.1826563451335131,0.33582673740975905,0.46829607723754024,0.27671901789595865
Iterations/BERT-final/RLHF500,0.17808993650517527,0.3314777768113421,0.46564321127250585,0.3242828778987281
